Province,StationID,Name,Latitude,Longitude,Postal Code,Date/Time,Year,Month,Mean Max Temp C,Mean Min Temp C,Mean Min Temp Flag,Temp Flag,Mean Temp C,Mean Temp Flag,Ext Max Temp,Ext Max Temp Flag,Ext Min Temp,Ext Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (mm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day,Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-01,2006,1,-1.1,,-13.2,,-7.1,,7.2,,-28.7,,,,,,82.3,,50,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-02,2006,2,-5.1,,-18.9,,-12,,3.3,,-35.4,,,,,,94.8,,79,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-03,2006,3,3,,-11.4,,-4.2,,19.7,,-26,,,,,,38.6,,26,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-04,2006,4,11.9,,-3.3,,4.4,,22.3,,-11.7,,,,,,58.3,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-05,2006,5,19.2,,4.2,,11.7,,33.2,,-5.7,,,,,,38.7,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-06,2006,6,22.7,E,8.6,,15.6,E,30.7,,2.7,,,,,,194.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-07,2006,7,26.3,E,11.8,E,19,E,32.1,,5.4,,,,,,97.7,E,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-08,2006,8,23.7,,7.8,,15.8,,33.4,,0.6,,,,,,86.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-09,2006,9,16.8,,3.8,,10.4,,24.1,,-2.3,,,,,,107.6,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-10,2006,10,9.8,,0,,4.9,,21.4,,-4.9,,,,,,110.8,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-11,2006,11,6.1,,-2.1,,2,,13.7,,-9.8,,,,,,83.1,,0,,,,,
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,2006-12,2006,12,0.6,,-7.6,,-3.5,,6.4,,-22.9,,,,,,63.1,,5,,,,,
ON,4607,AMHERSTBURG,42.1,-83.09,N9V 1N4,2006-01,2006,1,4.6,,-1.3,E,1.7,E,12,,-7,,76.2,,5,,81.2,,0,,,,,
ON,4607,AMHERSTBURG,42.1,-83.09,N9V 1N4,2006-02,2006,2,2.3,,-5.3,E,-1.5,E,11,,-16,,47.8,,4.4,,52.2,,0,,,,,
ON,4607,AMHERSTBURG,42.1,-83.09,N9V 1N4,2006-03,2006,3,7.5,,-2,E,2.8,E,18,S,-8,,66.8,,1,,67.8,,0,,,,,
ON,4607,AMHERSTBURG,42.1,-83.09,N9V 1N4,2006-04,2006,4,16.8,,4.5,,10.6,,26.5,,-4.5,,66.2,,1,,67.2,,0,,,,,
ON,4607,AMHERSTBURG,42.1,-83.09,N9V 1N4,2006-05,2006,5,20.7,,10.3,E,15.5,E,33,,3,S,138.8,,0,,138.8,,0,,,,,
ON,4607,AMHERSTBURG,42.1,-83.09,N9V 1N4,2006-06,2006,6,25.6,E,15.4,E,20.6,E,31.5,E,7,E,58.8,I,0,,58.8,I,0,,,,,
